ID,name,x,y,matrixPosition,startTimeWindow,endTimeWindow
0,LONGWARRY_DEPOT,145.772105,-38.1128,3,240,1320
1,PAKENHAM_DEPOT,145.497704,-38.098108,4,240,1320
