ID,name,x,y,milkPlanned,nextType,nextID,factory
0,SUP_32,145.764323,-38.09192,3208,factory,1,1
1,SUP_49,145.875885,-38.238845,5319,farm,10,1
2,SUP_56,145.533465,-38.09496,4442,farm,30,1
3,SUP_58,145.87983,-38.26395,3466,factory,1,1
4,SUP_59,145.870928,-38.227024,5446,farm,9,1
5,SUP_64,145.60967,-38.124375,26000,factory,1,1
6,SUP_79,145.530286,-38.146655,1805,farm,5,1
7,SUP_83,145.888985,-38.089505,1441,factory,1,1
8,SUP_86,145.77224,-38.30429,6108,farm,3,1
9,SUP_105,145.875465,-38.162349,2016,farm,18,1
10,SUP_500,146.379813,-38.136398,10891,farm,14,1
11,SUP_502,146.252467,-38.101588,1860,farm,13,1
12,SUP_504,146.176134,-38.109882,4274,farm,21,1
13,SUP_505,146.181921,-38.0938,2215,farm,15,1
14,SUP_509,146.258455,-38.093339,1791,farm,11,1
15,SUP_511,146.16728,-38.068286,2892,factory,1,1
16,SUP_9199,145.58537,-38.093463,7619,farm,29,1
17,SUP_9240,146.002196,-37.959192,7121,farm,7,1
18,SUP_9259,145.839015,-38.155578,12277,factory,1,1
19,SUP_9265,145.985983,-38.151122,7269,farm,35,1
20,SUP_9285,146.006184,-37.928793,9904,farm,17,1
21,SUP_9324,146.017471,-38.093534,6640,farm,26,1
22,SUP_9406,145.634486,-37.802115,10591,farm,19,1
23,SUP_9424,146.890793,-38.128696,9252,factory,1,1
24,SUP_9428,146.890793,-38.128696,5035,farm,23,1
25,SUP_9447,146.89881,-38.11672,8285,farm,24,1
26,SUP_9449,145.91042,-38.027152,6109,farm,0,1
27,SUP_9458,146.852564,-38.031833,7644,farm,25,1
28,SUP_9577,145.746824,-38.207537,14828,factory,1,1
29,SUP_20444,145.586954,-38.117429,7144,farm,28,1
30,SUP_20445,145.535855,-38.21391,20675,factory,1,1
31,SUP_20446,145.536955,-38.28345,6457,farm,37,1
32,SUP_20447,145.798283,-38.050649,20399,factory,1,1
33,SUP_4,145.864164,-38.21961,4458,farm,4,1
34,SUP_15,145.535552,-37.88475,4282,farm,22,1
35,SUP_17,145.87016,-38.203385,4628,factory,1,1
36,SUP_9455,145.95601,-37.95382,2597,farm,20,1
37,SUP_110,145.726021,-38.303606,7676,farm,8,1
38,SUP_118,146.18252,-38.127985,1776,farm,12,1
