time,truck,location,orderNum
510,0,56,1
690,0,35,2
524,1,55,1
600,2,54,1
657,3,10,1
533,4,2,1
690,4,9,2
510,5,66,1
690,5,38,2
570,6,3,1
660,7,18,1
600,8,39,1
474,9,51,1
690,9,48,2
600,10,58,1
