time,truck,location,orderNum
450,0,12,1
690,0,37,2
630,2,33,1
690,3,39,1
420,4,42,1
540,4,0,2
540,5,36,1
477,7,20,1
600,8,34,1
360,9,22,1
660,9,19,2
480,10,29,1
