time,truck,location,orderNum
347,0,1,1
540,0,33,2
690,0,32,3
570,2,31,1
392,4,38,1
480,5,36,1
600,6,2,1
630,8,34,1
330,9,27,1
660,9,16,2
660,10,6,1
