ID,name,x,y,milkPlanned,nextType,nextID,factory
0,SUP_30,145.68155,-38.17779,6656,farm,60,1
1,SUP_32,145.764323,-38.09192,3890,factory,1,1
2,SUP_36,145.739267,-38.184967,5314,farm,6,1
3,SUP_37,145.900921,-38.199139,3639,factory,1,1
4,SUP_38,145.986239,-38.218241,4097,farm,8,1
5,SUP_39,145.954463,-38.197071,5128,factory,1,1
6,SUP_41,145.96377,-38.211185,1769,farm,4,1
7,SUP_44,145.770604,-38.340258,4731,farm,19,1
8,SUP_46,145.979005,-38.193793,3261,farm,5,1
9,SUP_51,146.051958,-38.12968,2378,farm,12,1
10,SUP_56,145.533465,-38.09496,5846,farm,2,1
11,SUP_66,145.933751,-38.045261,4375,farm,9,1
12,SUP_76,146.103897,-38.116834,7723,farm,17,1
13,SUP_78,145.774568,-38.136373,3070,farm,1,1
14,SUP_83,145.888985,-38.089505,2163,farm,65,1
15,SUP_85,145.910655,-38.196494,1402,farm,66,1
16,SUP_86,145.77224,-38.30429,8591,factory,1,1
17,SUP_89,146.117044,-38.213145,2735,farm,62,1
18,SUP_91,145.771286,-38.410772,5731,farm,68,1
19,SUP_92,145.766178,-38.391233,7156,farm,69,1
20,SUP_95,145.755421,-38.310184,23920,factory,1,1
21,SUP_98,145.652535,-38.209977,281,farm,0,1
22,SUP_101,145.808054,-38.043342,1911,factory,1,1
23,SUP_301,146.880936,-38.054694,6225,farm,63,1
24,SUP_320,146.977729,-38.054622,8400,farm,23,1
25,SUP_508,146.166045,-38.045164,4478,farm,26,1
26,SUP_510,146.164803,-38.029123,5599,farm,54,1
27,SUP_511,146.16728,-38.068286,3286,farm,30,1
28,SUP_512,146.142945,-38.058222,8846,farm,25,1
29,SUP_513,146.138246,-37.974343,7390,farm,53,1
30,SUP_514,146.146723,-37.995501,4254,farm,29,1
31,SUP_9208,145.81107,-38.467688,6226,farm,33,0
32,SUP_9212,145.59125,-38.22413,4199,farm,37,0
33,SUP_9214,145.789962,-38.475747,4102,factory,0,0
34,SUP_9225,146.125597,-38.2079,4423,farm,40,0
35,SUP_9245,146.080328,-38.154331,2211,farm,45,0
36,SUP_9260,145.853653,-38.151087,6736,farm,32,0
37,SUP_9287,145.391359,-38.134294,13474,factory,0,0
38,SUP_9301,146.025403,-38.561187,5851,farm,43,0
39,SUP_9305,145.919705,-38.526875,2710,farm,31,0
40,SUP_9320,146.02896,-38.220386,1270,farm,44,0
41,SUP_9321,145.966373,-38.238082,1924,factory,0,0
42,SUP_9322,145.986239,-38.218241,1874,farm,41,0
43,SUP_9331,146.008486,-38.569286,4776,farm,48,0
44,SUP_9339,145.972335,-38.24436,2960,factory,0,0
45,SUP_9440,146.087131,-38.177535,5174,farm,42,0
46,SUP_9441,146.08057,-38.150955,13374,farm,35,0
47,SUP_9442,146.084004,-38.544893,10332,farm,34,0
48,SUP_9443,145.93881,-38.544085,6536,farm,39,0
49,SUP_9445,145.966721,-38.413568,8791,farm,51,0
50,SUP_9446,145.482371,-38.447282,5083,factory,0,0
51,SUP_9451,145.807095,-38.49078,16153,farm,50,0
52,SUP_9454,146.119892,-38.734429,10888,farm,47,0
53,SUP_12,145.966032,-38.064566,1683,factory,1,1
54,SUP_19,146.01117,-38.090235,1823,farm,14,1
55,SUP_20,145.783496,-38.181073,1081,farm,58,1
56,SUP_21,145.716058,-38.176896,4330,farm,64,1
57,SUP_106,145.720096,-38.192289,3789,farm,70,1
58,SUP_326,147.001505,-38.085501,5609,farm,24,1
59,SUP_108,146.231845,-38.14262,6828,farm,27,1
60,SUP_109,145.735021,-38.206469,1765,farm,57,1
61,SUP_107,145.777347,-38.188267,1488,farm,55,1
62,SUP_103,146.084898,-38.213055,3268,farm,15,1
63,SUP_332,146.758343,-37.997136,6096,factory,1,1
64,SUP_111,145.765651,-38.042492,1905,farm,22,1
65,SUP_114,145.827287,-38.076158,1912,factory,1,1
66,SUP_115,145.868056,-38.176379,3020,factory,1,1
67,SUP_116,145.790087,-38.360245,4438,farm,18,1
68,SUP_401,145.915505,-38.54357,6792,farm,71,1
69,SUP_119,145.801187,-38.326725,4638,farm,16,1
70,SUP_120,145.716058,-38.176896,3667,farm,56,1
71,SUP_402,146.069132,-38.515127,4645,farm,3,1
