time,truck,location,orderNum
479,0,59,1
660,0,11,2
681,1,46,1
690,2,21,1
602,3,7,1
478,4,13,1
583,4,20,2
695,4,28,3
657,5,10,1
540,6,67,1
570,7,36,1
510,8,52,1
370,9,61,1
660,9,38,2
469,10,49,1
